[2021-04-23T09:56:49+08:00][error] [0]Class 'app\controller\View' not found
[2021-04-23T09:56:58+08:00][error] [0]Class 'app\controller\View' not found
[2021-04-23T09:57:47+08:00][error] [0]Class 'app\controller\View' not found
[2021-04-23T10:00:58+08:00][error] [0]Class 'app\controller\View' not found
[2021-04-23T10:04:09+08:00][error] [0]Class 'app\controller\View' not found
[2021-04-23T10:50:54+08:00][error] [0]Class 'app\controller\View' not found
[2021-04-23T21:37:21+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:37:53+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:44+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:45+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:45+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:45+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:45+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:46+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:46+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:38:46+08:00][error] [0]syntax error, unexpected ':', expecting ')'
[2021-04-23T21:39:16+08:00][error] [0]syntax error, unexpected ':', expecting ')'
